   港澳台频道,#genre#	
    中視(備),mitv://ns2.hellotvvod.com:9906/f847105118154a10ab1c4b7ee0efdef5
    華視(備),mitv://ns2.hellotvvod.com:9906/22a561ed499542479cc3145d7adef0d0
    公視(備),mitv://ns2.hellotvvod.com:9906/880f30819a57477da523ea73d2cdc131
    東森新聞台(備),mitv://ns2.hellotvvod.com:9906/d2a15d971d92495fa271633077a2ce4a
    
    中國频道,#genre#	
    CCTV1,mitv://ns2.hellotvvod.com:9906/0e675e50c5a14b5aa6bb42d1c921f683
    CCTV2,mitv://ns2.hellotvvod.com:9906/a36da3629cad40d5abc4495635182581
    CCTV3,mitv://ns2.hellotvvod.com:9906/a591f5e986ae47578004395b5db39a94
    CCTV4,mitv://ns2.hellotvvod.com:9906/b16bbce5ac0b4b518b33adfad153a264
    CCTV5,mitv://ns2.hellotvvod.com:9906/f88e65ea73b44c37bb01349678ca24cb
    CCTV5+,mitv://ns2.hellotvvod.com:9906/0bc9bacf7ebf4a12a4dc06c24ebe41af
    CCTV6,mitv://ns2.hellotvvod.com:9906/f908ced93a4a48168612b68dc9caa1a0
    CCTV7,mitv://ns2.hellotvvod.com:9906/cd76109c7a81488188bb57d4e2931e26
    CCTV8,mitv://ns2.hellotvvod.com:9906/214ee1d97eb54ddba137e845a7b97a44
    CCTV9,mitv://ns2.hellotvvod.com:9906/2ae8a40044894be59728fd5661ef53d4
    CCTV10,mitv://ns2.hellotvvod.com:9906/18c0861ddd1f423fa925873d4a8b23a4
    CCTV11,mitv://ns2.hellotvvod.com:9906/f06bd3cb36de40789db0bd76badbbea7
    CCTV12,mitv://ns2.hellotvvod.com:9906/8248dc3440c542c3a43f9efcab107c49
    CCTV13,mitv://ns2.hellotvvod.com:9906/717afaf19c844e59ab60f357d099ea2f
    CCTV14,mitv://ns2.hellotvvod.com:9906/d17c3fb2d0c74d7084684e372f6a5d76
    CCTV15,mitv://ns2.hellotvvod.com:9906/cee854b8814a492b88568d775b82510a
    北京衛視,mitv://ns2.hellotvvod.com:9906/fb08eaf2ebb0410abc52bcc9245e62c2
    天津衛視,mitv://ns2.hellotvvod.com:9906/67a3f250d5724e4a825f5cf5dd017334
    河北衛視,mitv://ns2.hellotvvod.com:9906/d872b6ad7f0d4f878dcde54fd76fafb7
    黑龍江衛視,mitv://ns2.hellotvvod.com:9906/72b393a777a743cfb7825c6164cc8f78
    遼寧衛視,mitv://ns2.hellotvvod.com:9906/d8d1099cc6a34670b55d5b20d2ac00e0
    東方衛視,mitv://ns2.hellotvvod.com:9906/a8f3625d1f554739b633acdf029c635b
    江蘇衛視,mitv://ns2.hellotvvod.com:9906/0ff29eaac78a4379992a1a1f631f48c5
    浙江衛視,mitv://ns2.hellotvvod.com:9906/ec9cc4dc870143bbba1ce96ac2a8a4e7
    江西衛視,mitv://ns2.hellotvvod.com:9906/85a2d49498c74c728d1a28e5a523d441
    山東衛視,mitv://ns2.hellotvvod.com:9906/37adc5415e6c4909a43bc1256df2542b
    東南衛視,mitv://ns2.hellotvvod.com:9906/08599c5bfe6845fab7622b31702a08f7
    湖北衛視,mitv://ns2.hellotvvod.com:9906/60699eaecf39438bb0d98bc7ae6f0863
    湖南衛視,mitv://ns2.hellotvvod.com:9906/a3fc38c5c74049d88ba68bb880fb3cbc
    深圳衛視,mitv://ns2.hellotvvod.com:9906/260c6f9ed1c84cfb8eca374abb54aab4
    廣東衛視,mitv://ns2.hellotvvod.com:9906/2aa3443c407c46ec87ba98207462c979
    廣西衛視,mitv://ns2.hellotvvod.com:9906/cd715bc8577c45549cc474ca782f686d
    重慶衛視,mitv://ns2.hellotvvod.com:9906/48db771de6594eddbd9aba43b7c36976
    雲南衛視,mitv://ns2.hellotvvod.com:9906/2d4d7945683f427b945b2a6dff431f08
    星空衛視,mitv://ns2.hellotvvod.com:9906/859f6b6d27fd4e44a0c4ab73eed33507
    廣東南方衛視,mitv://ns2.hellotvvod.com:9906/0e9bce1489614305812d83b75acaa657
    珠江台,mitv://ns2.hellotvvod.com:9906/8ca9b4a90d1944ec8b12b9dd0f56482c
    金鷹卡通,mitv://ns2.hellotvvod.com:9906/b707153fcb1c4d88a9d4c892179b69c8
    魅力足球,mitv://ns2.hellotvvod.com:9906/9b71b0725dbf41748c4056d128fbfd14
    五星體育,mitv://ns2.hellotvvod.com:9906/4df810782f1844a5b9de2e083bd34d33
    廣東體育,mitv://ns2.hellotvvod.com:9906/da3359fe260a491ca52e865833b08df3
    CCTV16,mitv://ns2.hellotvvod.com:9906/1a9815efc3e640e8b64304a7ce45b75e
    廣東影視,mitv://ns2.hellotvvod.com:9906/e55fd95d83a449fe9d3ca2cc36ebeb58
 
